name,metal,date_added,url,rating,edition,authors,artists,pages,price,ratings_count,setting
Leaves from the Inn of the Last Home,Silver seller,3/3/2022,https://www.dmsguild.com/product/309152/Leaves-from-the-Inn-of-the-Last-Home?filters=45471_0_0_0_0_0_0_0,2,2nd Edition,"['Tracy Hickman', 'Margaret Weis']",['Kristine Bartyzel'],258,12.95,1,Dragonlance
Faces of Evil: The Fiends (2e),Gold seller,10/29/2013,https://www.dmsguild.com/product/121100/Faces-of-Evil-The-Fiends-2e?filters=45471_0_0_0_0_0_0_0,4.8,2nd Edition,['Colin McComb'],"['Roy Boholst', 'Dawn Murin', 'Robert Repp', 'Adam Rex', 'Robh Ruppel']",96,9.99,17,No Setting
Beyond the Crystal Cave (4e),Gold seller,12/10/2013,https://www.dmsguild.com/product/122035/Beyond-the-Crystal-Cave-4e?filters=45471_0_0_0_0_0_0_0,4.7,4th Edition,"['Chris Sims', 'Steven A. Townshend']","['Alex Aparin', 'De Leuw', 'Jason Engle', 'Jeremy Jarvis', 'Warren Mahy', 'Ben Wootten']",66,4.99,6,Greyhawk
Masque of the Red Death and Other Tales (2e),Gold seller,3/11/2014,https://www.dmsguild.com/product/127234/Masque-of-the-Red-Death-and-Other-Tales-2e?filters=45471_0_0_0_0_0_0_0,4.6,2nd Edition,"['William W. Connors', 'D. J. Heinrich', 'Shane Lacy Hensley', 'Colin McComb']","['Ned Dameron', 'Stephen Fabian', 'Robh Ruppel', 'David C. Sutherland', 'III']",256,14.99,17,Ravenloft
Vaults of the Underdark Map Pack (4e),Electrum seller,7/14/2015,https://www.dmsguild.com/product/152455/Vaults-of-the-Underdark-Map-Pack-4e?filters=45471_0_0_0_0_0_0_0,4.5,4th Edition,['Greg Costikyan'],"['Jason Engle', 'Soe Hemmi', 'Emi Tanji', 'Trish Yochum']",,5.99,4,No Setting
Player Essentials: Heroes of the Forgotten Kingdoms (4e),Gold seller,9/1/2015,https://www.dmsguild.com/product/155642/Player-Essentials-Heroes-of-the-Forgotten-Kingdoms-4e?filters=45471_0_0_0_0_0_0_0,4.6,4th Edition,"['Mike Mearls', 'Bill Slavicsek', 'Rodney Thompson']",[],352,9.99,5,Nentir Vale
Dungeon #207 (4e),Electrum seller,9/22/2015,https://www.dmsguild.com/product/157028/Dungeon-207-4e?filters=45471_0_0_0_0_0_0_0,4.8,4th Edition,"['Logan Bonner', 'Craig Campbell', 'Michele Carter', 'Jeremy Crawford']","['Anna Christenson', 'Jesper Ejsing', 'Jason Engle', 'Kyle Stanley Hunter']",80,4.99,4,No Setting
Forgotten Realms Adventures (2e),Platinum seller,1/22/2013,https://www.dmsguild.com/product/16797/Forgotten-Realms-Adventures-2e?filters=45471_0_0_0_0_0_0_0,4.3,2nd Edition,"['Jeff Grubb', 'Ed Greenwood']","['Stephen Fabian', 'Ned Dameron', 'Larry Elmore', 'Clyde Caldwell', 'Jeff Easley']",154,9.99,17,Forgotten Realms
REF5 Lords of Darkness (1e),Gold seller,9/6/2016,https://www.dmsguild.com/product/16810/REF5-Lords-of-Darkness-1e?filters=45471_0_0_0_0_0_0_0,4.5,1st Edition,"['Ed Greenwood', 'Deborah Christian', 'Michael Stackpole', 'Jennell Jaquays', 'Steve Perrin', 'Vince Garcia', 'Jean Rabe']","['Jeff Easley', 'Karl Wailer']",96,4.99,4,Forgotten Realms
FR7: Hall of Heroes (1e/2e),Electrum seller,12/6/2016,https://www.dmsguild.com/product/16814/FR7-Hall-of-Heroes-1e-2e?filters=45471_0_0_0_0_0_0_0,4.9,1st Edition,"['Jeff Grubb', 'James Lowder', 'Bruce Nesmith', 'Steve Perrin']","['Ned Dameron', 'Jeff Easley']",128,5.99,10,Forgotten Realms
FOR5 Elves of Evermeet (2e),Gold seller,5/28/2013,https://www.dmsguild.com/product/16844/FOR5-Elves-of-Evermeet-2e?filters=45471_0_0_0_0_0_0_0,4.7,2nd Edition,['Anthony Pryor'],"['Laura Lakey', 'Daniel Frazier']",128,4.79,10,Forgotten Realms
Ruined Kingdoms (2e),Gold seller,1/17/2017,https://www.dmsguild.com/product/16878/Ruined-Kingdoms-2e?filters=45471_0_0_0_0_0_0_0,4.3,2nd Edition,['Steven Kurtz'],"['Karl Waller', 'Fred Fields']",96,7.99,7,Al-Qadim
DMGR8: Sages & Specialists (2e),Gold seller,5/3/2016,https://www.dmsguild.com/product/16884/DMGR8-Sages--Specialists-2e?filters=45471_0_0_0_0_0_0_0,4.8,2nd Edition,"['Matt Forbeck', 'Keith Strohm']","['Roy Boholst', 'Ken Frank', ""William O'Connor"", 'Keith Parkinson']",128,2.99,17,No Setting
PHBR2 Complete Thief's Handbook (2e),Platinum seller,3/12/2013,https://www.dmsguild.com/product/16886/PHBR2-Complete-Thiefs-Handbook-2e?filters=45471_0_0_0_0_0_0_0,4.6,2nd Edition,[],[],,9.99,12,No Setting
